Station,Date/Time,Temperature (°C),1-minute Precipitation (mm),Precipitation Presence (Presence/Absence),Wind Direction (deg),Wind Speed (m/s),Local Pressure (hPa),Sea-level Pressure (hPa),Humidity (%),Solar Radiation (MJ/m^2),Sunshine Duration (Sec),wind_dir_sin,wind_dir_cos,humidity_change_5min,pressure_change_5min,wind_change_5min,rain_5min,future_rain_score,_date,HMM_State,P_OPEN,P_CLOSE,Actual_Soft_Label,Predicted_Action,State_0_Prob,State_1_Prob,State_2_Prob,State_3_Prob,State_4_Prob,Fold,Eval_Date
939,2026-05-26 00:00:00,18.6,0.0,0.0,35.2,0.2,1004.8,1010.6,96.5,,,0.5764323161697933,0.8171448983351285,0.29999999999999716,0.09999999999990905,0.1,0.0,0.0,2026-05-26,2,0.00012724514266138111,0.9998727548573386,0.0,CLOSE,0.0,0.0,1.0,1.10554307088618e-274,0.0,29,2026-05-26
939,2026-05-26 00:01:00,18.6,0.0,0.0,47.8,0.2,1004.8,1010.6,96.5,,,0.74080459628675,0.6717205893229903,0.20000000000000284,0.09999999999990905,-0.09999999999999998,0.0,0.0,2026-05-26,1,0.002192674343955321,0.9978073256560447,0.0,CLOSE,3.262861562353475e-05,0.9999673710138365,2.8800378506272546e-15,3.701715947588618e-10,5.962238032516183e-20,29,2026-05-26
939,2026-05-26 00:02:00,18.6,0.0,0.0,46.0,0.5,1004.7,1010.5,96.7,,,0.7193398003386512,0.6946583704589973,0.4000000000000057,0.0,0.3,0.0,0.0,2026-05-26,1,0.00219267468651291,0.997807325313487,0.0,CLOSE,2.2886175821547716e-06,0.9999977113819837,6.273686267857654e-21,3.338406753081201e-14,2.706246360212295e-21,29,2026-05-26
939,2026-05-26 00:03:00,18.6,0.0,0.0,33.7,0.5,1004.7,1010.5,96.6,,,0.5548444274479993,0.8319541221304826,0.19999999999998863,0.0,0.2,0.0,0.0,2026-05-26,1,0.002192674697137764,0.9978073253028622,0.0,CLOSE,1.346423874585672e-06,0.9999986535758549,5.145599179988323e-21,2.4025357726037776e-14,2.5041629501758555e-21,29,2026-05-26
939,2026-05-26 00:04:00,18.6,0.0,0.0,35.2,0.6,1004.7,1010.5,96.7,,,0.5764323161697933,0.8171448983351285,0.20000000000000284,0.0,0.3,0.0,0.0,2026-05-26,1,0.00219267468726122,0.9978073253127387,0.0,CLOSE,2.222314044064226e-06,0.9999977776858169,7.08399468791882e-21,3.474222474804834e-14,3.364287752854107e-21,29,2026-05-26
939,2026-05-26 00:05:00,18.6,0.0,0.0,34.5,0.8,1004.7,1010.5,96.7,,,0.5664062369248328,0.8241261886220157,0.20000000000000284,-0.09999999999990905,0.6000000000000001,0.0,0.0,2026-05-26,1,0.0021926745695861048,0.997807325430414,0.0,CLOSE,1.2657842898075924e-05,0.9999873421566764,3.77742224534956e-20,2.0786372651528688e-13,3.074418610447801e-20,29,2026-05-26
939,2026-05-26 00:06:00,18.6,0.0,0.0,28.6,0.5,1004.7,1010.5,96.8,,,0.4786918579406068,0.8779829754279805,0.29999999999999716,-0.09999999999990905,0.3,0.0,0.0,2026-05-26,1,0.0021926746807481748,0.9978073253192519,0.0,CLOSE,2.79992553898549e-06,0.9999972000744581,7.475448318408324e-21,3.940866399962679e-14,7.651807141362221e-21,29,2026-05-26
939,2026-05-26 00:07:00,18.6,0.0,0.0,23.9,0.5,1004.7,1010.5,96.8,,,0.4051415867798625,0.9142539552342638,0.09999999999999432,0.0,0.0,0.0,0.0,2026-05-26,1,0.0021926746985216432,0.9978073253014783,0.0,CLOSE,1.223806507256811e-06,0.9999987761937731,4.148790553678154e-21,1.927884427716863e-14,2.4314654729626994e-21,29,2026-05-26
939,2026-05-26 00:08:00,18.6,0.0,0.0,16.6,0.4,1004.7,1010.5,96.7,,,0.28568836740497355,0.9583225744651332,0.10000000000000853,0.0,-0.09999999999999998,0.0,0.0,2026-05-26,1,0.0021926746995741767,0.9978073253004258,0.0,CLOSE,1.1304541990916411e-06,0.9999988695460184,3.8018380981526754e-21,1.73265815348242e-14,2.4580424540207675e-21,29,2026-05-26
939,2026-05-26 00:09:00,18.6,0.0,0.0,14.1,0.6,1004.7,1010.5,96.8,,,0.2436150117860225,0.9698720152847468,0.09999999999999432,0.0,0.0,0.0,0.0,2026-05-26,1,0.002192674694255584,0.9978073253057445,0.0,CLOSE,1.6020827868024025e-06,0.9999983979172712,4.792168125867805e-21,2.29242944891104e-14,3.143781925823695e-21,29,2026-05-26
