Station,Date/Time,Temperature (°C),1-minute Precipitation (mm),Precipitation Presence (Presence/Absence),Wind Direction (deg),Wind Speed (m/s),Local Pressure (hPa),Sea-level Pressure (hPa),Humidity (%),Solar Radiation (MJ/m^2),Sunshine Duration (Sec),wind_dir_sin,wind_dir_cos,humidity_change_5min,pressure_change_5min,wind_change_5min,rain_5min,future_rain_score,_date,HMM_State,P_OPEN,P_CLOSE,Actual_Soft_Label,Predicted_Action,State_0_Prob,State_1_Prob,State_2_Prob,State_3_Prob,State_4_Prob,Fold,Eval_Date
939,2026-04-11 00:00:00,13.4,0.0,0.0,252.6,3.1,1000.4,1006.3,62.0,,,-0.9542403285162769,-0.2990407922560866,-0.7000000000000028,0.10000000000002274,-1.6999999999999997,0.0,0.0,2026-04-11,2,6.63780708640783e-284,1.0,0.0,CLOSE,0.0,3.833196507872394e-295,1.0,4.73180819445356e-281,0.0,20,2026-04-11
939,2026-04-11 00:01:00,13.4,0.0,0.0,255.2,1.1,1000.4,1006.3,62.0,,,-0.9668233886044594,-0.2554457579357906,-0.20000000000000284,0.10000000000002274,-2.1,0.0,0.0,2026-04-11,0,0.0022124503925020035,0.997787549607498,0.0,CLOSE,0.9999996694642141,1.8378280295887191e-09,2.7586772115803012e-17,3.2869831644951324e-07,5.194920863444557e-44,20,2026-04-11
939,2026-04-11 00:02:00,13.4,0.0,0.0,223.7,2.3,1000.4,1006.3,62.1,,,-0.6908824110768583,-0.7229671459095682,-0.29999999999999716,0.0,0.3999999999999999,0.0,0.0,2026-04-11,0,0.0022124506611286253,0.9977875493388714,0.0,CLOSE,0.9999999997780833,3.2771813194487848e-12,1.584666117243379e-24,2.1784340008337556e-10,7.979610495896535e-23,20,2026-04-11
939,2026-04-11 00:03:00,13.4,0.0,0.0,250.5,2.8,1000.4,1006.3,61.8,,,-0.9426414910921783,-0.33380685923377124,-0.30000000000000426,0.10000000000002274,0.0,0.0,0.0,2026-04-11,0,0.002212450661128336,0.9977875493388717,0.0,CLOSE,0.9999999997726263,1.6061377231743407e-14,5.684116972429268e-24,2.2799524238287783e-10,8.118221854689636e-23,20,2026-04-11
939,2026-04-11 00:04:00,13.4,0.0,0.0,280.1,2.3,1000.5,1006.4,61.7,,,-0.9845031799744366,0.1753667260919875,-0.3999999999999986,0.10000000000002274,-0.10000000000000009,0.0,0.0,2026-04-11,0,0.0022124506609444046,0.9977875493390556,0.0,CLOSE,0.9999999995525286,6.6391951346133855e-12,2.84283261125927e-23,4.404509941052728e-10,1.0596692547130487e-22,20,2026-04-11
939,2026-04-11 00:05:00,13.3,0.0,0.0,329.4,3.4,1000.5,1006.4,62.3,,,-0.509041415750372,0.8607420270039433,0.29999999999999716,0.10000000000002274,0.2999999999999998,0.0,0.0,2026-04-11,0,0.0022124506610491077,0.9977875493389509,0.0,CLOSE,0.9999999996744009,6.3335224755268916e-18,3.217182826199642e-23,3.2644318518562386e-10,2.336834975781754e-22,20,2026-04-11
939,2026-04-11 00:06:00,13.3,0.0,0.0,309.5,2.1,1000.5,1006.4,62.2,,,-0.7716245833877202,0.6360782202777636,0.20000000000000284,0.10000000000002274,1.0,0.0,0.0,2026-04-11,0,0.002212450660709069,0.9977875493392909,0.0,CLOSE,0.9999999992614903,6.760499845319208e-12,4.822844526122396e-23,7.316392199903295e-10,2.0290514177840335e-22,20,2026-04-11
939,2026-04-11 00:07:00,13.3,0.0,0.0,300.8,2.0,1000.4,1006.3,62.2,,,-0.8589598969306643,0.5120428648705716,0.10000000000000142,0.0,-0.2999999999999998,0.0,0.0,2026-04-11,0,0.002212450660748338,0.9977875493392516,0.0,CLOSE,0.9999999994124664,1.3341503420910067e-10,3.2352909057426895e-23,4.53491107996484e-10,1.6157660142974033e-22,20,2026-04-11
939,2026-04-11 00:08:00,13.2,0.0,0.0,264.7,1.7,1000.4,1006.3,62.4,,,-0.9957246981845821,-0.09237058744656222,0.6000000000000014,0.0,-1.0999999999999999,0.0,0.0,2026-04-11,0,0.002212450660870012,0.9977875493391299,0.0,CLOSE,0.9999999995361577,1.027017634824633e-10,1.1684959741904851e-23,3.616426297497463e-10,1.4335509232410605e-22,20,2026-04-11
939,2026-04-11 00:09:00,13.2,0.0,0.0,222.4,1.7,1000.4,1006.3,62.2,,,-0.6743023875837234,-0.7384553406258838,0.5,-0.10000000000002274,-0.5999999999999999,0.0,0.0,2026-04-11,0,0.0022124506606634228,0.9977875493393366,0.0,CLOSE,0.9999999994561222,3.204386930870236e-10,1.610145640900093e-24,2.2365441444357211e-10,1.9654816203227779e-22,20,2026-04-11
939,2026-04-11 00:10:00,13.3,0.0,0.0,249.3,1.0,1000.5,1006.4,62.2,,,-0.9354440308298674,-0.35347484377925703,-0.09999999999999432,0.0,-2.4,0.0,0.0,2026-04-11,0,0.0022124506610658773,0.9977875493389341,0.0,CLOSE,0.9999999996962288,1.5078002739345953e-13,9.870707962639445e-24,3.03890027120931e-10,9.879138749910396e-23,20,2026-04-11
939,2026-04-11 00:11:00,13.2,0.0,0.0,219.6,1.4,1000.5,1006.4,62.1,,,-0.6374239897486896,-0.7705132427757893,-0.10000000000000142,0.0,-0.7000000000000002,0.0,0.0,2026-04-11,0,0.002212450657371084,0.9977875493426289,0.0,CLOSE,0.9999999971896614,2.5629811975336495e-09,2.5831750581125672e-24,2.4676582774191527e-10,1.1086960480413616e-22,20,2026-04-11
