Station,Date/Time,Temperature (°C),1-minute Precipitation (mm),Precipitation Presence (Presence/Absence),Wind Direction (deg),Wind Speed (m/s),Local Pressure (hPa),Sea-level Pressure (hPa),Humidity (%),Solar Radiation (MJ/m^2),Sunshine Duration (Sec),wind_dir_sin,wind_dir_cos,humidity_change_5min,pressure_change_5min,wind_change_5min,rain_5min,future_rain_score,_date,HMM_State,P_OPEN,P_CLOSE,Actual_Soft_Label,Predicted_Action,State_0_Prob,State_1_Prob,State_2_Prob,State_3_Prob,State_4_Prob,Fold,Eval_Date
939,2026-01-21 00:00:00,-1.0,0.0,0.0,77.4,1.6,1015.8,1022.1,19.2,,,0.9759167619387474,0.21814324139654248,-0.5,-0.10000000000002274,-0.19999999999999996,0.0,0.0,2026-01-21,2,0.0004519649451579121,0.9995480350548421,0.0,CLOSE,1.214295915200714e-154,2.5806629215863884e-157,1.0,0.0,0.0,4,2026-01-21
939,2026-01-21 00:01:00,-1.0,0.0,0.0,72.3,2.1,1015.8,1022.1,19.0,,,0.9526614812535862,0.30403306092549043,0.10000000000000142,-0.10000000000002274,0.10000000000000009,0.0,0.0,2026-01-21,2,0.0004519649374850714,0.9995480350625149,0.0,CLOSE,1.659978714543797e-08,3.765486124512634e-10,0.999999983023372,1.5116676115219609e-211,9.315039828402763e-117,4,2026-01-21
939,2026-01-21 00:02:00,-1.0,0.0,0.0,68.3,2.4,1015.8,1022.1,18.8,,,0.9291325715340562,0.36974675727382933,-0.1999999999999993,-0.10000000000002274,0.3999999999999999,0.0,0.0,2026-01-21,2,0.0004519649383022581,0.9995480350616978,0.0,CLOSE,1.516454778793379e-08,3.680451236714988e-12,0.9999999848314475,4.036091535649421e-211,1.0362691488287692e-116,4,2026-01-21
939,2026-01-21 00:03:00,-1.0,0.0,0.0,79.9,3.2,1015.7,1022,18.3,,,0.9845031799744366,0.17536672609198709,-0.8000000000000007,-0.1999999999999318,1.6,0.0,0.0,2026-01-21,2,0.00045196494030083043,0.9995480350596991,0.0,CLOSE,1.0746313942326526e-08,2.133446080619482e-21,0.9999999892534106,6.8020623115624815e-208,1.1484564244672483e-117,4,2026-01-21
939,2026-01-21 00:04:00,-0.8,0.0,0.0,92.1,3.5,1015.7,1022,17.8,,,0.9993283937786562,-0.03664370870655615,-1.5,-0.1999999999999318,2.5,0.0,0.0,2026-01-21,2,0.0004519649319628952,0.9995480350680371,0.0,CLOSE,2.919438144501636e-08,4.166608103130897e-28,0.9999999708052205,3.640733762588969e-206,1.3225236088079746e-117,4,2026-01-21
939,2026-01-21 00:05:00,-0.8,0.0,0.0,76.4,2.6,1015.7,1022,17.3,,,0.9719610005785463,0.23514211310258998,-1.8999999999999986,-0.09999999999990905,1.0,0.0,0.0,2026-01-21,2,0.00045196489631251,0.9995480351036875,0.0,CLOSE,1.0807407994662499e-07,3.4092287627697476e-14,0.9999998919265695,1.2646413049694021e-207,2.1172212390698292e-119,4,2026-01-21
939,2026-01-21 00:06:00,-0.7,0.0,0.0,81.2,2.7,1015.7,1022,17.1,,,0.9882283814465528,0.1529858362840381,-1.8999999999999986,-0.09999999999990905,0.6000000000000001,0.0,0.0,2026-01-21,2,0.0004519649025622614,0.9995480350974377,0.0,CLOSE,9.42456247120639e-08,3.473188143176904e-14,0.9999999057545255,2.4872119566283408e-207,9.89977774635714e-120,4,2026-01-21
939,2026-01-21 00:07:00,-0.8,0.0,0.0,71.3,1.4,1015.7,1022,17.3,,,0.9472102777460287,0.32061299058567644,-1.5,-0.09999999999990905,-1.0,0.0,0.0,2026-01-21,2,0.00045196489413142733,0.9995480351058685,0.0,CLOSE,5.484756928353828e-08,5.805218099848899e-08,0.999999887100791,6.840170592729248e-208,8.858294487701682e-120,4,2026-01-21
939,2026-01-21 00:08:00,-0.9,0.0,0.0,50.4,2.6,1015.7,1022,17.6,,,0.7705132427757893,0.6374239897486897,-0.6999999999999993,0.0,-0.6000000000000001,0.0,0.0,2026-01-21,2,0.0004519649376248317,0.9995480350623752,0.0,CLOSE,1.6667589300249028e-08,1.4152621768176406e-13,0.9999999833326002,9.190633652162303e-207,2.3161200001636095e-116,4,2026-01-21
939,2026-01-21 00:09:00,-0.9,0.0,0.0,58.2,2.4,1015.7,1022,17.6,,,0.849892692986864,0.5269557954966775,-0.1999999999999993,0.0,-1.1,0.0,0.0,2026-01-21,2,0.0004519649385160091,0.999548035061484,0.0,CLOSE,1.46949939227482e-08,3.8260987831486825e-13,0.9999999853043846,1.5614830954003013e-207,8.309576096606413e-118,4,2026-01-21
