Station,Date/Time,Temperature (°C),1-minute Precipitation (mm),Precipitation Presence (Presence/Absence),Wind Direction (deg),Wind Speed (m/s),Local Pressure (hPa),Sea-level Pressure (hPa),Humidity (%),Solar Radiation (MJ/m^2),Sunshine Duration (Sec),wind_dir_sin,wind_dir_cos,humidity_change_5min,pressure_change_5min,wind_change_5min,rain_5min,future_rain_score,_date,HMM_State,P_OPEN,P_CLOSE,Actual_Soft_Label,Predicted_Action,State_0_Prob,State_1_Prob,State_2_Prob,State_3_Prob,State_4_Prob,Fold,Eval_Date
939,2026-04-16 00:00:00,13.0,0.0,0.0,309.4,2.3,1010.7,1016.6,72.4,,,-0.7727335734973513,0.6347305132022674,0.0,0.0,-1.3000000000000003,0.0,0.0,2026-04-16,2,0.00010692137714733765,0.9998930786228527,0.0,CLOSE,0.0,1.1964619725373625e-305,1.0,3.3247563905642293e-287,0.0,21,2026-04-16
939,2026-04-16 00:01:00,12.9,0.0,0.0,326.8,2.8,1010.8,1016.7,72.8,,,-0.54756322349255,0.8367643134589619,0.0,0.09999999999990905,0.5,0.0,0.0,2026-04-16,0,0.0020678111819529745,0.997932188818047,0.0,CLOSE,0.9999948409264401,1.100579383806307e-09,1.6661067873329707e-09,5.156305992023565e-06,8.697015964697904e-21,21,2026-04-16
939,2026-04-16 00:02:00,12.9,0.0,0.0,324.2,2.5,1010.8,1016.7,72.7,,,-0.5849576749872157,0.8110638189893263,0.20000000000000284,0.09999999999990905,-0.10000000000000009,0.0,0.0,2026-04-16,0,0.0020678144190010793,0.9979321855809989,0.0,CLOSE,0.9999999950432539,6.434131344678603e-11,5.790908054733913e-16,4.891626366414726e-09,1.2708052091344e-21,21,2026-04-16
939,2026-04-16 00:03:00,12.9,0.0,0.0,334.1,3.1,1010.9,1016.8,72.7,,,-0.4368017883677019,0.8995577789551805,0.29999999999999716,0.1999999999999318,0.10000000000000009,0.0,0.0,2026-04-16,0,0.0020678144193906674,0.9979321855806094,0.0,CLOSE,0.9999999955925887,1.1268365278202134e-14,5.272446834856073e-16,4.407860937121718e-09,3.20602287944076e-21,21,2026-04-16
939,2026-04-16 00:04:00,12.9,0.0,0.0,335.0,2.6,1010.9,1016.8,72.8,,,-0.4226182617406992,0.90630778703665,0.29999999999999716,0.1999999999999318,-0.8999999999999999,0.0,0.0,2026-04-16,0,0.002067814418863249,0.9979321855811367,0.0,CLOSE,0.9999999947540346,2.0377348813269797e-12,6.3051476295527805e-16,5.244471915770329e-09,3.562294757913166e-21,21,2026-04-16
939,2026-04-16 00:05:00,12.9,0.0,0.0,336.3,3.0,1011.0,1016.9,72.8,,,-0.4019477766559604,0.9156625933395609,0.3999999999999915,0.2999999999999545,0.7000000000000002,0.0,0.0,2026-04-16,0,0.0020678144176360484,0.997932185582364,0.0,CLOSE,0.999999992796802,5.3691830909506386e-15,5.216217487999172e-16,7.203439797192509e-09,1.5783165659450462e-20,21,2026-04-16
939,2026-04-16 00:06:00,13.0,0.0,0.0,337.6,2.6,1011.0,1016.9,72.5,,,-0.381070376350274,0.9245460336123131,-0.29999999999999716,0.20000000000004547,-0.19999999999999973,0.0,0.0,2026-04-16,0,0.0020678144181940686,0.997932185581806,0.0,CLOSE,0.9999999936990207,1.0744922214771855e-11,7.276593866073017e-16,6.2898478508268835e-09,2.9987495983826013e-21,21,2026-04-16
939,2026-04-16 00:07:00,13.0,0.0,0.0,336.5,3.2,1011.0,1016.9,72.3,,,-0.39874906892524664,0.9170600743851238,-0.4000000000000057,0.20000000000004547,0.7000000000000002,0.0,0.0,2026-04-16,0,0.0020678144189010227,0.997932185581099,0.0,CLOSE,0.9999999948140612,6.897935166013013e-16,6.180116129827789e-16,5.185609469178323e-09,2.468057107201507e-21,21,2026-04-16
939,2026-04-16 00:08:00,12.9,0.0,0.0,326.4,2.9,1011.0,1016.9,72.3,,,-0.5533915492433442,0.8329212407100994,-0.4000000000000057,0.10000000000002274,-0.20000000000000018,0.0,0.0,2026-04-16,0,0.002067814419554111,0.9979321855804459,0.0,CLOSE,0.9999999958563421,3.2491401899168817e-13,7.319056067023238e-16,4.142510977454015e-09,9.949567717683757e-22,21,2026-04-16
939,2026-04-16 00:09:00,12.9,0.0,0.0,325.9,2.6,1011.0,1016.9,72.4,,,-0.5606389945632422,0.8280603346224942,-0.3999999999999915,0.10000000000002274,0.0,0.0,0.0,2026-04-16,0,0.002067814418872813,0.9979321855811272,0.0,CLOSE,0.9999999947867764,1.9170750499589373e-11,7.723327399462728e-16,5.194943216260151e-09,1.0573283616799712e-21,21,2026-04-16
