Station,Date/Time,Temperature (°C),1-minute Precipitation (mm),Precipitation Presence (Presence/Absence),Wind Direction (deg),Wind Speed (m/s),Local Pressure (hPa),Sea-level Pressure (hPa),Humidity (%),Solar Radiation (MJ/m^2),Sunshine Duration (Sec),wind_dir_sin,wind_dir_cos,humidity_change_5min,pressure_change_5min,wind_change_5min,rain_5min,future_rain_score,_date,HMM_State,P_OPEN,P_CLOSE,Actual_Soft_Label,Predicted_Action,State_0_Prob,State_1_Prob,State_2_Prob,State_3_Prob,State_4_Prob,Fold,Eval_Date
939,2026-06-10 00:00:00,15.0,0.0,0.0,29.2,0.2,1002.8,1008.6,91.3,,,0.4878596591387327,0.8729220772698096,0.0,-0.10000000000002274,0.2,0.0,0.0,2026-06-10,2,0.0006740124871905934,0.9993259875128094,0.0,CLOSE,0.0,0.0,1.0,0.0,0.0,32,2026-06-10
939,2026-06-10 00:01:00,15.0,0.0,0.0,274.9,0.5,1002.9,1008.7,91.4,,,-0.9963452961909064,0.08541692313736729,0.10000000000000853,0.0,0.5,0.0,0.0,2026-06-10,1,0.0029930060885979388,0.997006993911402,0.0,CLOSE,3.680569430679451e-05,0.9999618880561245,1.3062458628582155e-06,4.14668786697256e-12,2.7781687859481514e-19,32,2026-06-10
939,2026-06-10 00:02:00,15.0,0.0,0.0,25.7,0.3,1002.8,1008.6,91.2,,,0.4336590845875443,0.9010770213220916,-0.09999999999999432,-0.10000000000002274,0.0,0.0,0.0,2026-06-10,1,0.002993006599111933,0.997006993400888,0.0,CLOSE,4.9721181077491496e-05,0.9999502788133663,6.455782839901661e-12,4.2848364086700305e-15,3.6846780941334505e-21,32,2026-06-10
939,2026-06-10 00:03:00,15.1,0.0,0.0,53.2,1.4,1002.8,1008.6,91.3,,,0.8007313709487335,0.5990235985155858,-0.20000000000000284,-0.10000000000002274,1.2,0.0,0.0,2026-06-10,1,0.0029907614327031665,0.9970092385672968,0.0,CLOSE,0.011557662439132982,0.9884419110456636,4.265151692942724e-07,7.8502844083691155e-16,7.539762543149731e-17,32,2026-06-10
939,2026-06-10 00:04:00,15.1,0.0,0.0,38.4,1.0,1002.8,1008.6,91.3,,,0.6211477802783103,0.7836934573258398,0.0,0.0,0.5,0.0,0.0,2026-06-10,1,0.0029928779605099356,0.99700712203949,0.0,CLOSE,0.0007093670052953944,0.9992906328670608,1.2698862328150138e-10,5.368268063356133e-16,4.73057057950884e-20,32,2026-06-10
939,2026-06-10 00:05:00,15.1,0.0,0.0,281.1,0.4,1002.8,1008.6,91.1,,,-0.9812926639922451,0.19252196652590764,-0.20000000000000284,0.0,0.2,0.0,0.0,2026-06-10,1,0.002993015155468122,0.9970069848445319,0.0,CLOSE,5.844945279564246e-06,0.9999941550493364,4.503193531896931e-12,4.649828220423606e-18,1.0664905718799331e-21,32,2026-06-10
939,2026-06-10 00:06:00,15.1,0.0,0.0,266.8,0.4,1002.8,1008.6,91.3,,,-0.998440764181981,-0.055821504993164066,-0.10000000000000853,-0.10000000000002274,-0.09999999999999998,0.0,0.0,2026-06-10,1,0.0029930162323342853,0.9970069837676657,0.0,CLOSE,3.228823367728238e-07,0.9999996771130621,4.130757775205036e-12,2.0678654963771526e-20,1.722756795549958e-21,32,2026-06-10
939,2026-06-10 00:07:00,15.1,0.0,0.0,12.7,0.2,1002.8,1008.6,91.2,,,0.2198462043528375,0.9755345439458566,0.0,0.0,-0.09999999999999998,0.0,0.0,2026-06-10,1,0.0029930162783091538,0.9970069837216908,0.0,CLOSE,8.71582615818139e-08,0.9999999128394885,2.6453607359175538e-12,6.351475225907805e-20,5.324448648455812e-22,32,2026-06-10
939,2026-06-10 00:08:00,15.1,0.0,0.0,20.0,0.1,1002.8,1008.6,91.4,,,0.3420201433256687,0.9396926207859084,0.10000000000000853,0.0,-1.2999999999999998,0.0,0.0,2026-06-10,1,0.0029930117195971933,0.9970069882804028,0.0,CLOSE,2.3449103372766986e-05,0.9999765496562083,1.2409600014555335e-09,3.3549396764532045e-19,2.1226614821501861e-19,32,2026-06-10
939,2026-06-10 00:09:00,15.0,0.0,0.0,17.6,0.1,1002.8,1008.6,91.2,,,0.3023698907504445,0.953190667792947,-0.09999999999999432,0.0,-0.9,0.0,0.0,2026-06-10,1,0.002993015936705072,0.9970069840632949,0.0,CLOSE,1.8382052206354934e-06,0.9999981617364554,5.828476156766109e-11,6.414950064301802e-19,1.0239323813187073e-20,32,2026-06-10
