Station,Date/Time,Temperature (°C),1-minute Precipitation (mm),Precipitation Presence (Presence/Absence),Wind Direction (deg),Wind Speed (m/s),Local Pressure (hPa),Sea-level Pressure (hPa),Humidity (%),Solar Radiation (MJ/m^2),Sunshine Duration (Sec),wind_dir_sin,wind_dir_cos,humidity_change_5min,pressure_change_5min,wind_change_5min,rain_5min,future_rain_score,_date,HMM_State,P_OPEN,P_CLOSE,Actual_Soft_Label,Predicted_Action,State_0_Prob,State_1_Prob,State_2_Prob,State_3_Prob,State_4_Prob,Fold,Eval_Date
939,2026-03-22 00:00:00,4.4,0.0,0.0,220.2,1.1,1016.1,1022.3,85.2,,,-0.6454576877239504,-0.7637960286346424,0.29999999999999716,0.10000000000002274,1.0,0.0,0.0,2026-03-22,2,3.2870848500577675e-261,1.0,0.0,CLOSE,1.0560520547017961e-293,4.718222243629793e-258,1.0,0.0,0.0,16,2026-03-22
939,2026-03-22 00:01:00,4.4,0.0,0.0,204.9,0.5,1016.1,1022.3,85.5,,,-0.42103581336749096,-0.907044014291465,0.20000000000000284,0.10000000000002274,0.2,0.0,0.0,2026-03-22,1,0.0006966891752814336,0.9993033108247186,0.0,CLOSE,1.6217230523696964e-05,0.9999837827695833,1.913423204275748e-17,2.2042204022120053e-272,2.096952229826359e-281,16,2026-03-22
939,2026-03-22 00:02:00,4.3,0.0,0.0,217.3,0.4,1016.1,1022.3,85.5,,,-0.6059884002657112,-0.7954734808548958,0.5,0.10000000000002274,0.2,0.0,0.0,2026-03-22,1,0.0006966793157134664,0.9993033206842865,0.0,CLOSE,9.806326964856938e-07,0.9999990193669225,3.306639576634233e-22,5.233861912240986e-15,6.4491839085781196e-24,16,2026-03-22
939,2026-03-22 00:03:00,4.3,0.0,0.0,227.2,0.2,1016.2,1022.4,86.0,,,-0.7337298645028761,-0.6794413042615167,1.0,0.20000000000004547,0.0,0.0,0.0,2026-03-22,1,0.0006966792086741611,0.9993033207913259,0.0,CLOSE,8.152169617328769e-07,0.9999991847838513,2.8467918931911073e-22,1.6858438802090826e-14,3.9079562368985855e-23,16,2026-03-22
939,2026-03-22 00:04:00,4.3,0.0,0.0,214.1,0.5,1016.2,1022.4,85.9,,,-0.5606389945632415,-0.8280603346224946,0.6000000000000085,0.20000000000004547,-0.7,0.0,0.0,2026-03-22,1,0.0006966804006513779,0.9993033195993486,0.0,CLOSE,2.657254066179096e-06,0.9999973427455933,8.623056564144527e-22,5.144645652079008e-14,5.561258607040696e-23,16,2026-03-22
939,2026-03-22 00:05:00,4.4,0.0,0.0,201.9,0.2,1016.2,1022.4,86.4,,,-0.372987782575809,-0.92783625389892,1.2000000000000028,0.10000000000002274,-0.9000000000000001,0.0,0.0,2026-03-22,1,0.0006966798853825847,0.9993033201146174,0.0,CLOSE,1.8609771601794403e-06,0.9999981390227767,1.4897874301665478e-22,1.6114927894260336e-14,2.2239804693013224e-23,16,2026-03-22
939,2026-03-22 00:06:00,4.5,0.0,0.0,146.2,0.1,1016.1,1022.3,86.2,,,0.556295615500305,-0.8309844692743281,0.7000000000000028,0.0,-0.4,0.0,0.0,2026-03-22,1,0.0006966789166075011,0.9993033210833925,0.0,CLOSE,3.6386898518375883e-07,0.9999996361312449,1.0564549809242394e-22,1.8433766298726377e-17,4.477760158838401e-24,16,2026-03-22
939,2026-03-22 00:07:00,4.6,0.0,0.0,110.7,0.4,1016.1,1022.3,86.5,,,0.9354440308298673,-0.3534748437792572,1.0,0.0,0.0,0.0,0.0,2026-03-22,1,0.0006966787951652835,0.9993033212048347,0.0,CLOSE,1.7619766952424335e-07,0.999999823801788,1.7441764041764211e-22,3.294467700699406e-19,1.062416247681888e-23,16,2026-03-22
939,2026-03-22 00:08:00,4.6,0.0,0.0,97.2,0.4,1016.1,1022.3,86.1,,,0.9921147013144778,-0.12533323356430437,0.09999999999999432,-0.10000000000002274,0.2,0.0,0.0,2026-03-22,1,0.0006966789380722872,0.9993033210619278,0.0,CLOSE,3.970409000918629e-07,0.9999996029583478,1.1509139005200189e-21,3.1597348727440155e-19,3.8411496073213626e-23,16,2026-03-22
939,2026-03-22 00:09:00,4.6,0.0,0.0,86.8,0.2,1016.0,1022.2,86.2,,,0.998440764181981,0.05582150499316394,0.29999999999999716,-0.20000000000004547,-0.3,0.0,0.0,2026-03-22,1,0.0006966792604608775,0.9993033207395391,0.0,CLOSE,8.952475341604673e-07,0.9999991047520239,2.2454145035106972e-21,1.3603995897882797e-18,4.367419916331853e-22,16,2026-03-22
939,2026-03-22 00:10:00,4.6,0.0,0.0,45.1,0.3,1016.0,1022.2,86.0,,,0.7083398377245288,0.705871570678681,-0.4000000000000057,-0.20000000000004547,0.09999999999999998,0.0,0.0,2026-03-22,1,0.0006966794280292206,0.9993033205719708,0.0,CLOSE,1.1541998653178903e-06,0.9999988458009579,4.379423358053517e-21,5.649550496791204e-18,1.2607013759327246e-21,16,2026-03-22
939,2026-03-22 00:11:00,4.7,0.0,0.0,5.2,0.2,1016.0,1022.1,85.7,,,0.09063258019778016,0.9958843986159703,-0.5,-0.10000000000002274,0.1,0.0,0.0,2026-03-22,1,0.0006966792513518093,0.9993033207486481,0.0,CLOSE,8.811696091396245e-07,0.9999991188309895,3.0308487729845317e-21,3.8500260203316794e-17,4.484541923057266e-22,16,2026-03-22
939,2026-03-22 00:12:00,4.6,0.0,0.0,35.6,0.5,1016.0,1022.2,85.8,,,0.5821229701572894,0.8131007610470277,-0.7000000000000028,-0.10000000000002274,0.09999999999999998,0.0,0.0,2026-03-22,1,0.0006966790892595217,0.9993033209107405,0.0,CLOSE,6.306784977296735e-07,0.9999993693220118,3.066251902819595e-21,2.7906036748168535e-18,2.4742788317312923e-22,16,2026-03-22
939,2026-03-22 00:13:00,4.5,0.0,0.0,46.6,0.5,1016.0,1022.2,85.1,,,0.7265746709709759,0.687087510804423,-1.0,-0.10000000000002274,0.09999999999999998,0.0,0.0,2026-03-22,1,0.0006966789994644147,0.9993033210005355,0.0,CLOSE,4.919139133284968e-07,0.9999995080853596,4.601882596261339e-21,1.3156177218685198e-18,1.6290414272961282e-22,16,2026-03-22
939,2026-03-22 00:14:00,4.3,0.0,0.0,72.1,0.6,1016.0,1022.2,85.1,,,0.9515944038794382,0.3073566177998072,-1.1000000000000085,0.0,0.39999999999999997,0.0,0.0,2026-03-22,1,0.0006966789257105357,0.9993033210742894,0.0,CLOSE,3.7793676557036094e-07,0.999999622063186,5.136743540619067e-21,2.671900448704857e-19,4.5073250171656995e-23,16,2026-03-22
939,2026-03-22 00:15:00,4.2,0.0,0.0,67.5,1.0,1016.0,1022.2,85.2,,,0.9238795325112867,0.38268343236508984,-0.7999999999999972,0.0,0.7,0.0,0.0,2026-03-22,1,0.0006966802463827554,0.9993033197536172,0.0,CLOSE,2.418853808018883e-06,0.9999975811453774,4.6615537007211737e-20,1.8672597359242637e-18,2.5634930311635147e-22,16,2026-03-22
939,2026-03-22 00:16:00,4.1,0.0,0.0,61.7,0.9,1016.0,1022.2,85.6,,,0.880477353509162,0.47408820904711624,-0.10000000000000853,0.0,0.7,0.0,0.0,2026-03-22,1,0.0006966798661237919,0.9993033201338762,0.0,CLOSE,1.8312151340215718e-06,0.9999981687850263,4.0505810525423586e-20,1.1369606785832034e-18,2.425924080835346e-22,16,2026-03-22
939,2026-03-22 00:17:00,4.1,0.0,0.0,62.0,0.4,1016.0,1022.2,86.1,,,0.8829475928589269,0.46947156278589086,0.29999999999999716,0.0,-0.09999999999999998,0.0,0.0,2026-03-22,1,0.0006966788182152478,0.9993033211817848,0.0,CLOSE,2.1181857990083307e-07,0.9999997881805254,3.1253420502226508e-21,9.158999320327127e-20,4.3756307113232e-23,16,2026-03-22
939,2026-03-22 00:18:00,4.1,0.0,0.0,40.2,0.2,1016.0,1022.2,86.2,,,0.6454576877239506,0.7637960286346421,1.1000000000000085,0.0,-0.3,0.0,0.0,2026-03-22,1,0.0006966788099769306,0.9993033211900231,0.0,CLOSE,1.990855532782779e-07,0.9999998009152675,1.6268059096988673e-21,4.633241906822408e-19,1.097400489894186e-22,16,2026-03-22
939,2026-03-22 00:19:00,4.1,0.0,0.0,21.4,0.1,1016.0,1022.2,86.7,,,0.3648767843376196,0.9310558158625283,1.6000000000000085,0.0,-0.5,0.0,0.0,2026-03-22,1,0.0006966788475230842,0.9993033211524769,0.0,CLOSE,2.571087397282187e-07,0.9999997428913379,5.528677011035322e-22,4.146489623613465e-18,2.6228356693761895e-22,16,2026-03-22
939,2026-03-22 00:20:00,4.1,0.0,0.0,313.1,0.1,1016.0,1022.2,86.4,,,-0.7301622766207523,0.6832737736807992,1.2000000000000028,0.0,-0.9,0.0,0.0,2026-03-22,1,0.0006966800864219969,0.999303319913578,0.0,CLOSE,2.171656039322081e-06,0.9999978283436509,5.025019306175949e-21,1.7546512123314179e-15,9.05163286251183e-22,16,2026-03-22
939,2026-03-22 00:21:00,4.0,0.0,0.0,291.6,0.3,1016.0,1022.2,86.5,,,-0.9297764858882512,0.36812455268467825,0.9000000000000057,0.0,-0.6000000000000001,0.0,0.0,2026-03-22,1,0.0006966793926673952,0.9993033206073326,0.0,CLOSE,1.0995534657329972e-06,0.9999989004469759,2.3606231145256258e-21,1.1602051668086992e-15,1.7396969356188192e-22,16,2026-03-22
939,2026-03-22 00:22:00,3.9,0.0,0.0,322.1,0.4,1016.0,1022.2,86.7,,,-0.6142852000989432,0.7890840848346907,0.6000000000000085,0.0,0.0,0.0,0.0,2026-03-22,1,0.000696679024027855,0.9993033209759722,0.0,CLOSE,5.298729246588841e-07,0.9999994701267081,1.871827323387291e-21,1.5042747059506559e-16,1.335295901402751e-22,16,2026-03-22
939,2026-03-22 00:23:00,3.9,0.0,0.0,12.0,0.3,1016.0,1022.2,86.8,,,0.20791169081775934,0.9781476007338057,0.5999999999999943,0.0,0.09999999999999998,0.0,0.0,2026-03-22,1,0.0006966788697705589,0.9993033211302295,0.0,CLOSE,2.9148929746603077e-07,0.9999997085106286,1.6299115103477015e-21,3.817373073141171e-18,1.2200011411344442e-22,16,2026-03-22
939,2026-03-22 00:24:00,3.9,0.0,0.0,21.1,0.4,1016.0,1022.2,87.1,,,0.35999680812005125,0.932953534825489,0.3999999999999915,0.0,0.30000000000000004,0.0,0.0,2026-03-22,1,0.0006966789038338434,0.9993033210961662,0.0,CLOSE,3.441291964486749e-07,0.9999996558709109,1.790880206157304e-21,2.022594423257122e-18,1.2566401722172148e-22,16,2026-03-22
939,2026-03-22 00:25:00,4.0,0.0,0.0,22.1,0.5,1015.9,1022.1,87.0,,,0.37622426313936563,0.9265286308718373,0.5999999999999943,-0.10000000000002274,0.4,0.0,0.0,2026-03-22,1,0.0006966791150834554,0.9993033208849166,0.0,CLOSE,6.70586480829251e-07,0.9999993294134103,2.235270556054643e-21,6.357780427490644e-18,3.6678093276272613e-22,16,2026-03-22
939,2026-03-22 00:26:00,4.0,0.0,0.0,18.7,0.5,1015.9,1022.1,87.5,,,0.32061299058567627,0.9472102777460288,1.0,-0.10000000000002274,0.2,0.0,0.0,2026-03-22,1,0.0006966789677479936,0.9993033210322521,0.0,CLOSE,4.4289904607737197e-07,0.9999995571016441,6.595833217706438e-22,6.386488132053049e-18,3.183806854406439e-22,16,2026-03-22
939,2026-03-22 00:27:00,4.0,0.0,0.0,10.9,0.5,1015.9,1022.1,87.2,,,0.1890954429898913,0.9819587126964436,0.5,-0.10000000000002274,0.09999999999999998,0.0,0.0,2026-03-22,1,0.0006966790558130074,0.999303320944187,0.0,CLOSE,5.789926914972225e-07,0.9999994210067455,1.3855395663895122e-21,1.1829566417821733e-17,3.0679335256241605e-22,16,2026-03-22
939,2026-03-22 00:28:00,4.0,0.0,0.0,340.6,0.2,1015.9,1022.1,87.3,,,-0.33216113188370294,0.9432226579476011,0.5,-0.10000000000002274,-0.09999999999999998,0.0,0.0,2026-03-22,1,0.0006966791281787855,0.9993033208718212,0.0,CLOSE,6.908230985686591e-07,0.999999309177167,1.0958782023819242e-21,1.0418416265277549e-16,3.771059170249775e-22,16,2026-03-22
939,2026-03-22 00:29:00,4.0,0.0,0.0,319.9,0.4,1015.9,1022.1,87.3,,,-0.6441236297613867,0.7649214009184316,0.20000000000000284,-0.10000000000002274,0.0,0.0,0.0,2026-03-22,1,0.000696679288939305,0.9993033207110606,0.0,CLOSE,9.392556042891575e-07,0.9999990607452537,1.334044760556703e-21,3.6306049578753916e-16,3.020614193114402e-22,16,2026-03-22
939,2026-03-22 00:30:00,4.0,0.0,0.0,357.0,0.3,1015.9,1022.1,87.2,,,-0.05233595624294437,0.9986295347545738,0.20000000000000284,0.0,-0.2,0.0,0.0,2026-03-22,1,0.0006966789622433959,0.9993033210377567,0.0,CLOSE,4.34392972105314e-07,0.9999995656072349,1.2752116234715425e-21,1.5793088105322812e-17,1.569855526327827e-22,16,2026-03-22
939,2026-03-22 00:31:00,4.0,0.0,0.0,338.5,0.2,1015.9,1022.1,87.5,,,-0.36650122672429725,0.9304175679820246,0.0,0.0,-0.3,0.0,0.0,2026-03-22,1,0.0006966790549648564,0.9993033209450352,0.0,CLOSE,5.776806385102016e-07,0.9999994223200551,1.1108403442121916e-21,6.416060269029197e-17,1.9131370994168046e-22,16,2026-03-22
939,2026-03-22 00:32:00,4.1,0.0,0.0,147.9,0.1,1015.9,1022.1,87.2,,,0.5313985795180828,-0.8471219213821372,0.0,0.0,-0.4,0.0,0.0,2026-03-22,1,0.0006966789027104774,0.9993033210972895,0.0,CLOSE,3.4239260503103546e-07,0.9999996576080452,7.096138958304801e-23,1.5030849339803306e-17,3.1094875622771944e-24,16,2026-03-22
