Station,Date/Time,Temperature (°C),1-minute Precipitation (mm),Precipitation Presence (Presence/Absence),Wind Direction (deg),Wind Speed (m/s),Local Pressure (hPa),Sea-level Pressure (hPa),Humidity (%),Solar Radiation (MJ/m^2),Sunshine Duration (Sec),wind_dir_sin,wind_dir_cos,humidity_change_5min,pressure_change_5min,wind_change_5min,rain_5min,future_rain_score,_date,HMM_State,P_OPEN,P_CLOSE,Actual_Soft_Label,Predicted_Action,State_0_Prob,State_1_Prob,State_2_Prob,State_3_Prob,State_4_Prob,Fold,Eval_Date
939,2026-01-11 00:00:00,0.5,0.0,0.0,354.4,2.8,1010.8,1017,46.3,,,-0.09758289975914985,0.9952273999818312,-1.1000000000000014,0.0,-2.4000000000000004,0.0,0.0,2026-01-11,2,0.0,1.0,0.0,CLOSE,4.711542011089085e-167,3.2245770706483942e-143,1.0,0.0,0.0,2,2026-01-11
939,2026-01-11 00:01:00,0.5,0.0,0.0,0.1,4.3,1010.8,1017,46.2,,,0.0017453283658983088,0.9999984769132877,-0.8999999999999986,0.09999999999990905,-0.7999999999999998,0.0,0.0,2026-01-11,2,0.0,1.0,0.0,CLOSE,9.681215999524843e-10,2.860742026258981e-22,0.9999999989995558,2.6026275802907305e-276,3.1498612638351565e-11,2,2026-01-11
939,2026-01-11 00:02:00,0.5,0.0,0.0,339.5,2.0,1010.9,1017.1,46.6,,,-0.35020738125946765,0.9366721892483976,0.20000000000000284,0.10000000000002274,-1.5,0.0,0.0,2026-01-11,2,0.0,1.0,0.0,CLOSE,2.51447754953892e-08,1.4221624548981562e-10,0.9999999747051337,3.1527044692748507e-153,7.165171620946426e-12,2,2026-01-11
939,2026-01-11 00:03:00,0.5,0.0,0.0,6.4,4.1,1010.8,1017,46.8,,,0.11146893220632548,0.9937679191605964,0.5999999999999943,0.0,2.0999999999999996,0.0,0.0,2026-01-11,2,0.0,1.0,0.0,CLOSE,1.364254622161138e-09,1.0955538914825814e-23,0.9999999986157491,7.103941610951528e-151,2.0740210850569105e-11,2,2026-01-11
939,2026-01-11 00:04:00,0.5,0.0,0.0,1.1,4.1,1010.8,1017,47.5,,,0.01919744239968967,0.9998157121216442,1.7000000000000028,0.0,1.3999999999999995,0.0,0.0,2026-01-11,2,0.0,1.0,0.0,CLOSE,2.615026267131476e-09,3.130087094102568e-21,0.9999999973697413,9.231549391663017e-150,1.576447566701485e-11,2,2026-01-11
939,2026-01-11 00:05:00,0.4,0.0,0.0,294.6,2.8,1011.0,1017.2,47.6,,,-0.9092361090470683,0.41628079226040177,1.3000000000000043,0.20000000000004547,0.0,0.0,0.0,2026-01-11,2,0.0,1.0,0.0,CLOSE,2.5176736508247684e-08,4.684755978186185e-12,0.9999999745868994,6.3532083850803576e-136,2.3195516884505097e-10,2,2026-01-11
939,2026-01-11 00:06:00,0.4,0.0,0.0,314.2,2.5,1010.9,1017.1,47.0,,,-0.7169106076504829,0.6971651028545643,0.7999999999999972,0.10000000000002274,-1.7999999999999998,0.0,0.0,2026-01-11,2,0.0,1.0,0.0,CLOSE,1.8317891057714622e-08,4.213690518730421e-13,0.9999999816282072,2.0243657169286427e-136,5.3295323825602585e-11,2,2026-01-11
939,2026-01-11 00:07:00,0.3,0.0,0.0,340.2,3.5,1010.9,1017.1,47.2,,,-0.3387379202452914,0.9408807689542255,0.6000000000000014,0.0,1.5,0.0,0.0,2026-01-11,2,0.0,1.0,0.0,CLOSE,4.8935739413512755e-09,1.0724806050222898e-17,0.9999999950850906,4.584896993862403e-142,2.182998008712124e-11,2,2026-01-11
939,2026-01-11 00:08:00,0.3,0.0,0.0,351.2,4.1,1010.9,1017.1,47.1,,,-0.15298583628403853,0.9882283814465528,0.30000000000000426,0.10000000000002274,0.0,0.0,0.0,2026-01-11,2,0.0,1.0,0.0,CLOSE,9.160428119731979e-10,3.622146426662429e-20,0.9999999990595825,2.1381174449251813e-150,2.4933458520197583e-11,2,2026-01-11
939,2026-01-11 00:09:00,0.4,0.0,0.0,306.0,4.1,1010.9,1017.1,46.6,,,-0.8090169943749476,0.5877852522924729,-0.8999999999999986,0.10000000000002274,0.0,0.0,0.0,2026-01-11,2,0.0,1.0,0.0,CLOSE,1.7154806111693858e-09,4.499504919692068e-20,0.9999999978790584,4.431572738887762e-146,4.061815569472616e-10,2,2026-01-11
